1	440
2	980
3	963
4	343
5	165
6	429
7	919
8	657
9	767
10	313
11	216
12	431
13	103
14	122
15	246
16	144
17	801
18	750
19	528
20	107
21	664
22	258
23	176
24	413
25	72
26	453
27	292
28	998
29	691
30	405
31	716
32	572
33	739
34	883
35	64
36	310
37	93
38	648
39	189
40	980
41	0
42	11
43	216
44	231
45	988
46	213
47	110
48	740
49	698
50	684
51	161
52	550
53	590
54	492
55	920
56	138
57	597
58	69
59	307
60	792
61	682
62	771
63	195
64	476
65	532
66	484
67	375
68	36
69	626
70	929
71	22
72	44
73	238
74	966
75	129
76	805
77	211
78	482
79	528
80	959
81	899
82	116
83	542
84	148
85	949
86	671
87	441
88	791
89	477
90	470
91	468
92	359
93	579
94	711
95	426
96	739
97	523
98	897
99	328
100	409
101	354
102	21
103	837
104	345
105	937
106	876
107	855
108	837
109	458
110	996
111	372
112	863
113	576
114	506
115	191
116	868
117	966
118	822
119	187
120	832
121	620
122	839
123	573
124	364
125	587
126	320
127	475
128	589
129	105
130	593
131	556
132	153
133	362
134	78
135	755
136	238
137	693
138	877
139	6
140	743
141	734
142	84
143	104
144	894
145	565
146	930
147	707
148	155
149	467
150	555
151	121
152	608
153	596
154	527
155	30
156	839
157	643
158	729
159	353
160	766
161	86
162	428
163	515
164	7
165	538
166	276
167	382
168	731
169	590
170	203
171	780
172	519
173	881
174	463
175	351
176	573
177	150
178	749
179	108
180	712
181	914
182	11
183	848
184	9
185	245
186	610
187	993
188	651
189	491
190	487
191	680
192	294
193	628
194	464
195	366
196	863
197	864
198	308
199	920
200	183
201	286
202	30
203	277
204	173
205	252
206	645
207	659
208	865
209	883
210	103
211	248
212	181
213	485
214	137
215	503
216	79
217	264
218	190
219	948
220	365
221	338
222	763
223	699
224	979
225	558
226	384
227	680
228	226
229	513
230	61
231	53
232	194
233	658
